feature_id,feature,surface,purpose,trigger,result,dependencies,empty_state,loading_state,error_state,desktop_behaviour,tablet_behaviour,mobile_behaviour,classification,cial_relevance,evidence_paths
feature-slide,Slide deck,Studio,Presentation output,Slide deck,Dialog viewer,Studio job,Disabled without sources,Generating card,Not observed,Dialog,Dialog,Dialog,OBSERVED,Optional,evidence/accessibility_snapshots/a11y_studio_sanitized.txt;evidence/dom_snapshots/studio_structure_sanitized.md
feature-mindmap,Mind Map,Studio,Explore concepts,Mind Map,Interactive tree,Studio job,Disabled without sources,Generating card,Not observed,Dialog,Dialog,Dialog,OBSERVED,Adopt selectively,evidence/accessibility_snapshots/a11y_studio_sanitized.txt;evidence/dom_snapshots/studio_structure_sanitized.md
feature-report,Reports,Studio,Structured synthesis,Reports/type,Document viewer,Studio job,Disabled without sources,Generating card,Not observed,Dialog,Dialog,Dialog,OBSERVED,High,evidence/accessibility_snapshots/a11y_studio_sanitized.txt;evidence/dom_snapshots/studio_structure_sanitized.md
feature-flashcards,Flashcards,Studio,Study activity,Flashcards,Iframe activity,Studio job,Disabled without sources,Generating card,Not observed,Dialog,Dialog,Dialog,OBSERVED,Low,evidence/accessibility_snapshots/a11y_studio_sanitized.txt;evidence/dom_snapshots/studio_structure_sanitized.md
feature-quiz,Quiz,Studio,Assessment activity,Quiz,Iframe activity,Studio job,Disabled without sources,Generating card,Not observed,Dialog,Dialog,Dialog,OBSERVED,Low,evidence/accessibility_snapshots/a11y_studio_sanitized.txt;evidence/dom_snapshots/studio_structure_sanitized.md
feature-infographic,Infographic,Studio,Visual synthesis,Infographic,Zoomable image,Studio job,Disabled without sources,Generating card,Not observed,Dialog,Dialog,Dialog,OBSERVED,Optional,evidence/accessibility_snapshots/a11y_studio_sanitized.txt;evidence/dom_snapshots/studio_structure_sanitized.md
feature-table,Data table,Studio,Structured comparison,Data table,Table viewer,Studio job,Disabled without sources,Generating card,Not observed,Dialog,Dialog,Dialog,OBSERVED,High,evidence/accessibility_snapshots/a11y_studio_sanitized.txt;evidence/dom_snapshots/studio_structure_sanitized.md
feature-share,Sharing,Notebook header,Collaborate,Share notebook,Share dialog,Account/access model,N/A,N/A,Save disabled until change,Dialog,Dialog,Dialog,OBSERVED,Defer until ACL lifecycle,evidence/screenshots/mobile/empty_notebook_390x844.png;evidence/accessibility_snapshots/a11y_notebook_sanitized.txt;evidence/dom_snapshots/notebook_structure_sanitized.md
feature-settings,Settings,Header,Global preferences,Settings,Menu,Account configuration,N/A,N/A,Unknown,Menu,Menu,Menu,OBSERVED,Do not copy,evidence/screenshots/mobile/empty_notebook_390x844.png;evidence/accessibility_snapshots/a11y_notebook_sanitized.txt;evidence/dom_snapshots/notebook_structure_sanitized.md
feature-persistence,Session restoration,Notebook,Resume work,Reload/reopen,Turns/citations restored,Server persistence,Valid empty state,Loading before restore,Unknown,Yes,Yes,Yes,OBSERVED,Critical,evidence/screenshots/mobile/empty_notebook_390x844.png;evidence/accessibility_snapshots/a11y_notebook_sanitized.txt;evidence/dom_snapshots/notebook_structure_sanitized.md
